"","Plot","Year","Tag","Species","DBH","RingWidth","Core","BAI","Genus","Precip","Temp","FireCount","LastBurn","SinceBurn","BurnIn3"
"89","B127",2012,"1485","QURU",13,0.06,"1485-E-1",24.075406805227,"QU",66.03,23.4666666666667,6,2012,0,1
"90","B127",2008,"1488","QURU",61,1.346,"1488-W-1",2408.52516769566,"QU",91.46,21.7666666666667,6,2007,1,3
"91","B127",2002,"1485","QURU",13,0.776,"1485-B-1",298.664176409239,"QU",104.563333333333,23.8333333333333,6,1992,10,0
"92","B127",2015,"1485","QURU",13,0.304,"1485-B-1",123.758443296527,"QU",138.086666666667,21.2,6,2015,0,3
"93","B127",2013,"1485","QURU",13,0.304,"1485-W-1",122.534076674824,"QU",75.7033333333333,21.7,6,2013,0,2
"94","B127",2014,"1485","QURU",13,0.327,"1485-B-1",132.473519768883,"QU",166.476666666667,21.7,6,2013,1,2
"95","B127",2012,"1485","QURU",13,0.043,"1485-W-1",17.2852469835725,"QU",66.03,23.4666666666667,6,2012,0,1
"96","B127",2015,"1488","QURU",61,3.238,"1488-W-1",6126.49635039613,"QU",138.086666666667,21.2,6,2015,0,3
"97","B127",2003,"1485","QURU",13,0.7,"1485-B-1",272.65945472359,"QU",93.34,21.6666666666667,6,1993,10,0
"98","B127",2007,"1485","QURU",13,0.002,"1485-B-1",0.802161701797538,"QU",121.196666666667,22.5666666666667,6,2007,0,3
"99","B127",2005,"1491","QUMA",67.9,0.208,"1491-N-1",437.475171348002,"QU",55.1233333333333,23.9,6,1995,10,0
"100","B127",2012,"1491","QUMA",67.9,0.185,"1491-N-1",392.373220000751,"QU",66.03,23.4666666666667,6,2012,0,1
"101","B127",2009,"1491","QUMA",67.9,0.378,"1491-N-1",799.280697970816,"QU",95.1233333333333,20.4,6,2007,2,3
"102","B127",2000,"1485","QURU",13,1.229,"1485-W-1",460.978447007066,"QU",112.43,21.9,6,1990,10,0
"103","B127",2004,"1488","QURU",61,2.096,"1488-N-1",3725.44362418988,"QU",104.996666666667,20.8,6,1994,10,0
"104","B127",2003,"1491","QUMA",67.9,0.418,"1491-N-1",877.226451706178,"QU",93.34,21.6666666666667,6,1993,10,0
"105","B127",2014,"1485","QURU",13,0.337,"1485-E-1",136.46117474001,"QU",166.476666666667,21.7,6,2013,1,2
"106","B127",2011,"1485","QURU",13,0.12,"1485-B-1",48.2284737808504,"QU",129.293333333333,23.1333333333333,6,2007,4,0
"107","B127",2006,"1482","QUAL",59.2,0.496,"1482-N-1",899.341768589415,"QU",93.5633333333333,22.7,6,2006,0,1
"108","B127",2001,"1488","QURU",61,1.259,"1488-W-1",2194.51953998273,"QU",83.6233333333333,22.8333333333333,6,1991,10,0
"109","B127",2007,"1485","QURU",13,0.11,"1485-W-1",43.7567307977288,"QU",121.196666666667,22.5666666666667,6,2007,0,3
"110","B127",2011,"1482","QUAL",59.2,1.256,"1482-N-1",2299.51739412,"QU",129.293333333333,23.1333333333333,6,2007,4,0
"111","B127",2015,"1491","QUMA",67.9,0.496,"1491-N-1",1055.83168662872,"QU",138.086666666667,21.2,6,2015,0,3
"112","B127",2001,"1485","QURU",13,0.567,"1485-B-1",215.832721451611,"QU",83.6233333333333,22.8333333333333,6,1991,10,0
"113","B127",2005,"1482","QUAL",59.2,0.254,"1482-N-1",459.951545191534,"QU",55.1233333333333,23.9,6,1995,10,0
